pair_key,프로필,좋아하는_게임,좋아하는_게임_장르,추천_게임,추천_게임_장르,추천_게임_설명,적합도,이유태그,메모
B0132,A24,Garry's Mod / Team Fortress 2 / Left 4 Dead 2,"캐주얼, 인디, 시뮬레이션 / 액션, 무료 플레이 / 액션",Zombieville USA 3D,"액션, 인디","Zombieville USA 3D is a stylized arcade shooter combining retro gameplay with strikingly polished visuals. Fight through an endless undead horde in the bleak hellscape of suburbia! Choose your weapons, grab a friend, and see how long you can survive.",,,
B0133,A16,DARK SOULS™ III / Fallout 4 / The Forest,"액션 / RPG / 액션, 어드벤처, 인디, 시뮬레이션",Eco,"어드벤처, 인디, 시뮬레이션, 앞서 해보기","Build a civilization of real people, working together to advance society and stop a meteor, all without destroying the ecosystem in the process.",,,
B0134,A02,Hollow Knight / Dead Cells / Celeste,"액션, 어드벤처, 인디 / 액션, 어드벤처, 인디 / 액션, 어드벤처, 인디",Deathground,"액션, 어드벤처, 인디, 앞서 해보기","1~4인용 협동 호러 게임. 플레이어는 치명적인 공룡들로부터 도망치고, 숨고, 생존해야 합니다. 미션을 완수하고 폐허가 된 AEON 연구 시설의 끔찍한 비밀을 밝혀내세요. 당신과 친구들은 살아서 탈출할 수 있을까요?",,,
B0135,A13,Hardspace: Shipbreaker / Hacknet / The Case of the Golden Idol / 방 탈출 시뮬레이터 / shapez 2 - Factory,"시뮬레이션 / 인디, 시뮬레이션 / 어드벤처, 인디 / 어드벤처, 캐주얼, 인디, 시뮬레이션 / 캐주얼, 인디, 시뮬레이션, 전략",The Adventures of Fei Duanmu 端木斐异闻录,"어드벤처, 인디","Play as college student who majors in criminal investigation and solve the weird cases happened right beside him! A visual novel involves puzzle solving, reasoning, humor and of course adventures! English version is available now.",,,
B0136,A15,Stardew Valley / Slime Rancher / Raft,"인디, RPG, 시뮬레이션 / 액션, 어드벤처, 인디, 시뮬레이션 / 어드벤처, 인디, 시뮬레이션",Green Project,"인디, 시뮬레이션","Post apocalyptic survival farming, green the world to survive !",,,
B0137,A04,Team Fortress 2 / Left 4 Dead 2 / Terraria,"액션, 무료 플레이 / 액션 / 액션, 어드벤처, 인디, RPG",One Deck Dungeon,"어드벤처, 인디, RPG, 전략",The hit roguelike adventure that captures all the fun of a dungeon crawl in a single deck of cards!,,,
B0138,A23,Euro Truck Simulator 2 / BeamNG.drive / 아세토 코르사 Assetto Corsa,"인디, 시뮬레이션 / 레이싱, 시뮬레이션, 앞서 해보기 / 인디, 레이싱, 시뮬레이션, 스포츠",Motor Town: Behind The Wheel,"어드벤처, 캐주얼, 인디, 레이싱, 시뮬레이션, 앞서 해보기","레이서즈 클럽에서 만든 오픈 월드 드라이빙 시뮬레이션! 느긋하게 화물을 운반하거나, 버스나 택시를 몰아서 번 돈으로 멋진 차와 파츠를 구매한 뒤 레이스 트랙에서 실력을 발휘하세요.",,,
B0139,A08,A Short Hike / ISLANDERS / Gorogoa,"어드벤처, 인디 / 캐주얼, 인디, 전략 / 어드벤처, 캐주얼, 인디",Don't Sink,"어드벤처, 캐주얼, 인디, RPG","Capture islands, sink ships, defend your towns, and discover an exciting world full of adventure.",,,
B0140,A13,Hardspace: Shipbreaker / Hacknet / The Case of the Golden Idol / 방 탈출 시뮬레이터 / shapez 2 - Factory,"시뮬레이션 / 인디, 시뮬레이션 / 어드벤처, 인디 / 어드벤처, 캐주얼, 인디, 시뮬레이션 / 캐주얼, 인디, 시뮬레이션, 전략",Grey Hack,"인디, 대규모 멀티플레이어, 시뮬레이션, 앞서 해보기",Grey Hack is a massively multiplayer hacking simulator game. You're a hacker with full freedom to act as you wish on a vast network of procedurally generated computers.,,,
B0141,A04,Team Fortress 2 / Left 4 Dead 2 / Terraria,"액션, 무료 플레이 / 액션 / 액션, 어드벤처, 인디, RPG",War Trigger 3,"액션, 캐주얼, 인디, 시뮬레이션, 무료 플레이","Destroy, smash and blast your way to victory! Use advanced weapons and vehicles to dominate the battlefield.",,,
B0142,A08,A Short Hike / ISLANDERS / Gorogoa,"어드벤처, 인디 / 캐주얼, 인디, 전략 / 어드벤처, 캐주얼, 인디",Pogostuck: Rage With Your Friends,"액션, 어드벤처, 캐주얼, 인디",초현실적인 산을 포고 스틱으로 오르고 그 길을 따라 친구를 사귀세요.,,,
B0143,A15,Stardew Valley / Slime Rancher / Raft,"인디, RPG, 시뮬레이션 / 액션, 어드벤처, 인디, 시뮬레이션 / 어드벤처, 인디, 시뮬레이션",holoVillage: Our Cozy Days,"어드벤처, 인디, RPG, 시뮬레이션","Farm, fish, mine, craft, and decorate your home in this cozy life sim. Venture into dungeons and take on bosses outside the village for some added excitement. Enjoy relaxing and thrilling moments alike with hololive talents as you shape your countryside life.",,,
B0144,A06,DARK SOULS™ III / The Witcher 3: Wild Hunt / The Elder Scrolls V: Skyrim Special Edition,액션 / RPG / RPG,ELDEN RING,"액션, RPG","본 게임은 본격적인 다크 판타지 세계를 무대로 한 액션 RPG입니다. 드넓은 필드와 던전 탐험을 통해 미지의 것들을 발견해 보세요. 앞길을 막아서는 난관과 그것을 극복했을 때의 달성감, 그리고 등장인물들의 의도가 교착하는 군상극도 즐기실 수 있습니다.",,,
B0145,A07,Sid Meier’s Civilization® VI / XCOM® 2 / Stellaris,"전략 / 전략 / 시뮬레이션, 전략",컨커러스 블레이드,"액션, 대규모 멀티플레이어, RPG, 전략, 무료 플레이","다양한 문명의 고대 전장에서 장군의 꿈을 이루세요! 《컨커러스 블레이드》에서 다양한 문명의 병력을 이끌고 동맹군과 함께 수천명이 동시에 등장하는 습격 대전을 펼치며, 다채로운 문명 고전장에 압도당할 준비를 하세요.",,,
B0146,A03,Death's Door / Children of Morta / Roboquest / Spelunky 2 / Nuclear Throne / Streets of Rogue / Neon Abyss / Curse of the Dead Gods / Rogue Legacy 2 / Have a Nice Death,"액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 인디 / 액션, 인디 / 액션, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처 / 액션, 어드벤처, 인디, RPG / 액션, 인디",BELOW,"액션, 어드벤처, 인디, RPG",BELOW is a solitary journey through the haunted depths of a forbidden isle. Explore. Survive. Discover.,,,
B0147,A14,No Man's Sky / 서브노티카 / Slime Rancher,"액션, 어드벤처 / 어드벤처, 인디 / 액션, 어드벤처, 인디, 시뮬레이션",하운티,"액션, 어드벤처, 인디","광활하고 신비로운 세계의 비밀을 밝혀내는 매혹적인 모험에서, 당신은 환경과 생물 모두를 홀려 기다리고 있는 수많은 도전을 해결하게 됩니다.",,,
B0148,A11,서브노티카 / The Long Dark / No Man's Sky,"어드벤처, 인디 / 어드벤처, 인디, 시뮬레이션, 전략 / 액션, 어드벤처",하운티,"액션, 어드벤처, 인디","광활하고 신비로운 세계의 비밀을 밝혀내는 매혹적인 모험에서, 당신은 환경과 생물 모두를 홀려 기다리고 있는 수많은 도전을 해결하게 됩니다.",,,
B0149,A09,Hearts of Iron IV / Europa Universalis IV / Sid Meier's Civilization® V,"시뮬레이션, 전략 / 시뮬레이션, 전략 / 전략",The Settlers® 7 : History Edition,전략,히스토리 에디션에서 한층 현대화된 새로운 월드를 누비며 초록빛 숲과 무성한 목초지가 주는 매력을 감상해 보십시오. 하지만 세상은 다시 바삐 돌아가게 될 겁니다. 왕국의 운명이 오로지 당신 손에 달려 있습니다. 어떤 전략을 선택하시겠습니까?,,,
B0150,A16,DARK SOULS™ III / Fallout 4 / The Forest,"액션 / RPG / 액션, 어드벤처, 인디, 시뮬레이션",Away From Life,"액션, 어드벤처, 인디, 대규모 멀티플레이어, RPG, 시뮬레이션, 앞서 해보기","You survived a helicopter crash; going home is your top priority. Live as a castaway - survive the dangers of the islands by using your environment to find food, build shelter, craft tools to extend your stay, explore the secrets of the islands and their surrounding waters, and carve your way home.",,,
B0151,A03,Death's Door / Children of Morta / Roboquest / Spelunky 2 / Nuclear Throne / Streets of Rogue / Neon Abyss / Curse of the Dead Gods / Rogue Legacy 2 / Have a Nice Death,"액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 인디 / 액션, 인디 / 액션, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처 / 액션, 어드벤처, 인디, RPG / 액션, 인디",NEOVERSE,"액션, 어드벤처, 캐주얼, 인디, RPG, 전략","아름답고 환상적이며, 아찔한 도전이 넘치는 모험을 담은 ""NEOVERSE""는 오직 실력만으로 즐길 수 있는 덱빌딩, 전략, 액션, 로그라이트 게임입니다. 각기 다른 개성을 가진 주인공들과 함께 다른 시공간의 세상을 구원하기 위한 여정을 시작해보세요!",,,
B0152,A16,DARK SOULS™ III / Fallout 4 / The Forest,"액션 / RPG / 액션, 어드벤처, 인디, 시뮬레이션",Sons Of The Forest,"액션, 어드벤처, 인디, 시뮬레이션",외딴 섬에서 실종된 억만장자를 찾기 위해 파견된 당신은 식인종으로 가득한 지옥을 마주하게 됩니다. 이 무시무시한 오픈 월드 기반의 공포 서바이벌 시뮬레이터에서 혼자 또는 친구들과 함께 무기를 제작하고 건물을 지으며 생존을 위해 고군분투하세요.,,,
B0153,A11,서브노티카 / The Long Dark / No Man's Sky,"어드벤처, 인디 / 어드벤처, 인디, 시뮬레이션, 전략 / 액션, 어드벤처",Narcosis,"어드벤처, 인디","Survival, horror at the sunless depths of the Pacific Ocean: Stranded on the seafloor with low light and few tools, an industrial diver takes desperate steps to surface before his oxygen — and sanity — give out.",,,
B0154,A23,Euro Truck Simulator 2 / BeamNG.drive / 아세토 코르사 Assetto Corsa,"인디, 시뮬레이션 / 레이싱, 시뮬레이션, 앞서 해보기 / 인디, 레이싱, 시뮬레이션, 스포츠",Cargo! The Quest for Gravity,"액션, 어드벤처, 시뮬레이션","Create crazy, yet functional, custom vehicles to solve missions with your own unique style!",,,
B0155,A06,DARK SOULS™ III / The Witcher 3: Wild Hunt / The Elder Scrolls V: Skyrim Special Edition,액션 / RPG / RPG,Ara Fell: Enhanced Edition,"액션, 어드벤처, 캐주얼, 인디, RPG","Explore a breathtaking world floating above the clouds in this classic fantasy RPG. Battle an ancient vampire menace, forge powerful bonds with your companions, and experience the definitive Enhanced Edition packed with new content and improvements.",,,
B0156,A25,The Forest / 7 Days to Die / Sid Meier’s Civilization® VI,"액션, 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, RPG, 시뮬레이션, 전략 / 전략",Away From Life,"액션, 어드벤처, 인디, 대규모 멀티플레이어, RPG, 시뮬레이션, 앞서 해보기","You survived a helicopter crash; going home is your top priority. Live as a castaway - survive the dangers of the islands by using your environment to find food, build shelter, craft tools to extend your stay, explore the secrets of the islands and their surrounding waters, and carve your way home.",,,
B0157,A06,DARK SOULS™ III / The Witcher 3: Wild Hunt / The Elder Scrolls V: Skyrim Special Edition,액션 / RPG / RPG,Yet Another Zombie Defense,"액션, 캐주얼, 인디, 전략","Darkness is coming. How long can YOU survive? Build your base by day, defend it by night. Play in online or local co-op. Stay alive as long as you can.",,,
B0158,A03,Death's Door / Children of Morta / Roboquest / Spelunky 2 / Nuclear Throne / Streets of Rogue / Neon Abyss / Curse of the Dead Gods / Rogue Legacy 2 / Have a Nice Death,"액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 인디 / 액션, 인디 / 액션, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처 / 액션, 어드벤처, 인디, RPG / 액션, 인디",Fallen Hero: Retribution,"액션, 어드벤처, 캐주얼, 인디, RPG",So you're a villain now? Let's see if you survive the experience.,,,
B0159,A19,The Witcher 3: Wild Hunt / The Elder Scrolls V: Skyrim Special Edition / BeamNG.drive,"RPG / RPG / 레이싱, 시뮬레이션, 앞서 해보기",CAR TUNE: Project,"인디, 레이싱, 시뮬레이션, 앞서 해보기","CAR TUNE: Project is a detailed car tuning simulator where every bolt, screw, and gear matters. Build your dream machine, fine-tune every parameter, and test it on the track.",,,
B0160,A08,A Short Hike / ISLANDERS / Gorogoa,"어드벤처, 인디 / 캐주얼, 인디, 전략 / 어드벤처, 캐주얼, 인디",Forsaken Isle,"액션, 어드벤처, 캐주얼, 인디, RPG","Stranded on a desert island, explore, craft, build and fight in this action survival game!",,,
B0161,A01,Sid Meier's Civilization® V / Europa Universalis IV / Human Fall Flat,"전략 / 시뮬레이션, 전략 / 어드벤처, 캐주얼, 인디, 시뮬레이션",Space Rangers HD: A War Apart,"액션, 어드벤처, RPG, 시뮬레이션, 전략","Space adventure, open world RPG, strategy, arcade, quest and more!",,,
B0162,A23,Euro Truck Simulator 2 / BeamNG.drive / 아세토 코르사 Assetto Corsa,"인디, 시뮬레이션 / 레이싱, 시뮬레이션, 앞서 해보기 / 인디, 레이싱, 시뮬레이션, 스포츠",Resoraki: 레이싱,"액션, 어드벤처, 캐주얼, 인디, 레이싱, 시뮬레이션, 스포츠","레소라키는 간단한 레이싱 게임입니다. 혼자 또는 친구(오프라인/온라인)와 함께 폴란드, 핀란드, 호주 또는 그리스에서 레이스를 펼치세요. 챔피언십, 아케이드 및 타임 트라이얼과 같은 다양한 모드 게임. 그래픽은 애니메이션, 만화 및 만화 스타일을 결합합니다.",,,
B0163,A03,Death's Door / Children of Morta / Roboquest / Spelunky 2 / Nuclear Throne / Streets of Rogue / Neon Abyss / Curse of the Dead Gods / Rogue Legacy 2 / Have a Nice Death,"액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 인디 / 액션, 인디 / 액션, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처 / 액션, 어드벤처, 인디, RPG / 액션, 인디",Void Memory,"액션, 어드벤처, 인디, RPG",어둠만이 가득한 세상에서 태어난 당신은 당신을 만들어낸 사람의 부탁을 받아 이 영혼이 사라져 버린 땅을 방황하며 '성물'을 찾아야 합니다. 하지만 이를 위해선 타락한 망령들과 함정들이 가득한 고난을 이겨내야 합니다. 당신은 멸망해가는 세계에서 살아남아 새로운 세상을 열 수 있을까요?,,,
B0164,A11,서브노티카 / The Long Dark / No Man's Sky,"어드벤처, 인디 / 어드벤처, 인디, 시뮬레이션, 전략 / 액션, 어드벤처",Planetaries,"액션, 어드벤처, 캐주얼, 인디, RPG, 앞서 해보기","우주 깊은 곳의 머나먼 행성에서 펼쳐지는 광대한 SF 오픈 월드 서바이벌 TD 게임을 경험해 보세요. 이 외계 세계에서 제작하고, 건설하고, 채굴하고, 거래하고, 탐험하고, 살아남으세요. 데이터를 수집하고 당신을 추방하려는 적들의 파도로부터 방어하세요. 싱글플레이어 또는 멀티플레이어에서 모험을 즐겨보세요.",,,
B0165,A03,Death's Door / Children of Morta / Roboquest / Spelunky 2 / Nuclear Throne / Streets of Rogue / Neon Abyss / Curse of the Dead Gods / Rogue Legacy 2 / Have a Nice Death,"액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 인디 / 액션, 인디 / 액션, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처 / 액션, 어드벤처, 인디, RPG / 액션, 인디",냥자의모험,"액션, 어드벤처, RPG","냥자의 모험은 밝고 귀여운 액션 어드벤처 RPG입니다. 검과 활, 마법책을 들고 세상에 닥쳐오는 어둠에 맞서세요! 다양한 지역을 탐험하며 퀘스트를 해결하고 여러분의 농장과 장비를 풍부하게 할 고대 유물과 자원을 모으세요! 친구와 함께 로컬 협력 모드로 같이 플레이 할 수도 있습니다!",,,
B0166,A12,Project Zomboid / Don't Starve / The Forest,"인디, RPG, 시뮬레이션, 앞서 해보기 / 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, 시뮬레이션",Zombasite,"액션, 인디, RPG","Zombasite is a zombie apocalypse action RPG set in a dynamic, evolving, fantasy world for Windows, Mac, and Linux.",,,
B0167,A11,서브노티카 / The Long Dark / No Man's Sky,"어드벤처, 인디 / 어드벤처, 인디, 시뮬레이션, 전략 / 액션, 어드벤처",AER Memories of Old,"어드벤처, 인디","새로 변신하여 하늘을 날고 탐험하며, 활기가 넘치는 하늘의 떠다니는 섬 세계를 경험하세요. 잃어버린 고대 유적지로 모험을 떠나, 세상의 끝에 한 발 더 가까이 다가가세요.",,,
B0168,A10,Counter-Strike 2 / PUBG: BATTLEGROUNDS / 톰 클랜시의 레인보우식스 시즈,"액션, 무료 플레이 / 액션, 어드벤처, 대규모 멀티플레이어, 무료 플레이 / 액션, 무료 플레이",Guild Wars 2®,"어드벤처, 대규모 멀티플레이어, RPG, 무료 플레이","Guild Wars 2 is an award-winning online roleplaying game with fast-paced action combat, deep character customization, and no subscription fee required. Choose from an arsenal of professions and weapons, explore a vast open world, compete in PVP modes and more. Join over 16 million players now!",,,
B0169,A21,Hollow Knight / Dead Cells / Garry's Mod,"액션, 어드벤처, 인디 / 액션, 어드벤처, 인디 / 캐주얼, 인디, 시뮬레이션",Nidhogg,"액션, 인디, 스포츠","니드호그는 우아한 곡예와 어색한 찌르기가 가득한, 서사적인 수상 경력의 펜싱 줄다리기 게임으로, 날아다니는 거대한 벌레들도 등장합니다.",,,
B0170,A07,Sid Meier’s Civilization® VI / XCOM® 2 / Stellaris,"전략 / 전략 / 시뮬레이션, 전략",SteamWorld Build,"시뮬레이션, 전략","행성이 죽어갑니다. 이제 새로운 개척지를 건설할 시간입니다! 땅을 깊이 파고 마을을 넓게 지어 오랫동안 잊혀진 우주 여행 기술을 발굴하세요. 주민에게 꼭 필요한 물, 연료, 즐길 거리를 갖추는 것도 잊지 마시고요! 과연 당신은 마지막 개척지에 도달할 수 있을까요?",,,
B0171,A03,Death's Door / Children of Morta / Roboquest / Spelunky 2 / Nuclear Throne / Streets of Rogue / Neon Abyss / Curse of the Dead Gods / Rogue Legacy 2 / Have a Nice Death,"액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 인디 / 액션, 인디 / 액션, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처 / 액션, 어드벤처, 인디, RPG / 액션, 인디",Critters for Sale,"액션, 어드벤처, 인디",Experience death from the comfort of your seat.,,,
B0172,A07,Sid Meier’s Civilization® VI / XCOM® 2 / Stellaris,"전략 / 전략 / 시뮬레이션, 전략",Sid Meier's Starships,전략,"우주 함대를 만들고, 온 우주의 행성을 탐험하면서 건물을 건설하고 협상을 하십시오. 때에 따라서는 전투를 하는 수고도 마다하지 않아야 합니다. 인류의 미래를 지켜내십시오.",,,
B0173,A17,Into the Breach / Monster Train / Mini Metro,"인디, RPG, 시뮬레이션, 전략 / 전략 / 인디, 시뮬레이션, 전략",기차역 스토리 (Station Manager),"캐주얼, 인디, 시뮬레이션, 전략",복잡한 도심속에서 나만의 역을 만들자! 철도회사 경영 시뮬레이션 게임!,,,
B0174,A23,Euro Truck Simulator 2 / BeamNG.drive / 아세토 코르사 Assetto Corsa,"인디, 시뮬레이션 / 레이싱, 시뮬레이션, 앞서 해보기 / 인디, 레이싱, 시뮬레이션, 스포츠",City Car Driving,"인디, 레이싱, 시뮬레이션","City Car Driving – realistic car driving simulator, which will help you master the basic skills of the car driving in various traffic conditions, with plunging into the environment most closely resembling the real one.",,,
B0175,A09,Hearts of Iron IV / Europa Universalis IV / Sid Meier's Civilization® V,"시뮬레이션, 전략 / 시뮬레이션, 전략 / 전략",Warhammer Age of Sigmar: Realms of Ruin,"액션, 전략",영혼을 뒤흔들 Warhammer Age of Sigmar 세계관 배경의 실시간 전략 게임에서 격렬한 점령전을 벌이세요. 스토리 캠페인을 진행하며 특색 강한 4개의 진영을 지휘해 다이나믹한 전투를 즐기고 온라인 멀티플레이로 먼 곳에 있는 지휘관들과 실력을 겨루세요.,,,
B0176,A13,Hardspace: Shipbreaker / Hacknet / The Case of the Golden Idol / 방 탈출 시뮬레이터 / shapez 2 - Factory,"시뮬레이션 / 인디, 시뮬레이션 / 어드벤처, 인디 / 어드벤처, 캐주얼, 인디, 시뮬레이션 / 캐주얼, 인디, 시뮬레이션, 전략",Hacker's Journey,"인디, 시뮬레이션","Hacker’s Journey is a realistic hacking simulation game built around scenarios written by cybersecurity experts. No Hollywood hacking. Learn the tools, techniques, and tradecraft used in the wild.",,,
B0177,A04,Team Fortress 2 / Left 4 Dead 2 / Terraria,"액션, 무료 플레이 / 액션 / 액션, 어드벤처, 인디, RPG",Divinity: Original Sin (Classic),"어드벤처, 인디, RPG, 전략","Gather your party and get ready for a new, back-to-the-roots RPG adventure! Discuss your decisions with companions; fight foes in turn-based combat; explore an open world and interact with everything and everyone you see. Join up with a friend to play online in co-op and make your own adventures wit",,,
B0178,A09,Hearts of Iron IV / Europa Universalis IV / Sid Meier's Civilization® V,"시뮬레이션, 전략 / 시뮬레이션, 전략 / 전략",Building Destruction,"액션, 인디, 시뮬레이션","Multiplayer sandbox with destructible environment. Destroy different maps, build your own, and play with your friends and other people online",,,
B0179,A03,Death's Door / Children of Morta / Roboquest / Spelunky 2 / Nuclear Throne / Streets of Rogue / Neon Abyss / Curse of the Dead Gods / Rogue Legacy 2 / Have a Nice Death,"액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 인디 / 액션, 인디 / 액션, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처 / 액션, 어드벤처, 인디, RPG / 액션, 인디",Skillshot City,"액션, 인디, 무료 플레이, 앞서 해보기","Loot, shoot, cast and drive in this chaotic PvP Roguelite. Level up fast, draft wild skills, and create crazy combos on the fly. Explore a GTA-style battle royale with no queues or downtime as you prepare to win the final fight. Play solos, duos or trios with friends and climb the ranks!",,,
B0180,A12,Project Zomboid / Don't Starve / The Forest,"인디, RPG, 시뮬레이션, 앞서 해보기 / 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, 시뮬레이션",Sons Of The Forest,"액션, 어드벤처, 인디, 시뮬레이션",외딴 섬에서 실종된 억만장자를 찾기 위해 파견된 당신은 식인종으로 가득한 지옥을 마주하게 됩니다. 이 무시무시한 오픈 월드 기반의 공포 서바이벌 시뮬레이터에서 혼자 또는 친구들과 함께 무기를 제작하고 건물을 지으며 생존을 위해 고군분투하세요.,,,
B0181,A17,Into the Breach / Monster Train / Mini Metro,"인디, RPG, 시뮬레이션, 전략 / 전략 / 인디, 시뮬레이션, 전략",Station to Station,"캐주얼, 인디, 시뮬레이션, 전략",Station to Station은 철도 연결을 구축하는 미니멀리스트적이고 힐링게임입니다. 지금 여러분의 지휘자 모자를 잡고 기차의 마법을 통해 복셀 아트 세계를 되살려 보세요!,,,
B0182,A23,Euro Truck Simulator 2 / BeamNG.drive / 아세토 코르사 Assetto Corsa,"인디, 시뮬레이션 / 레이싱, 시뮬레이션, 앞서 해보기 / 인디, 레이싱, 시뮬레이션, 스포츠",Trucks & Trailers,"인디, 시뮬레이션",Put your truck driving skills to the test in Trucks & Trailers! Complete basic training and set on the way to master the wide variety of challenges that lie ahead.,,,
B0183,A16,DARK SOULS™ III / Fallout 4 / The Forest,"액션 / RPG / 액션, 어드벤처, 인디, 시뮬레이션",Hand Simulator: Survival,"액션, 어드벤처, 인디, 대규모 멀티플레이어, RPG, 시뮬레이션","Wild island. Thirst and hunger. Dangerous animals and insects. The perfect place to test your survival skills, especially if you only have empty hands, especially if it is a hand simulator.",,,
B0184,A12,Project Zomboid / Don't Starve / The Forest,"인디, RPG, 시뮬레이션, 앞서 해보기 / 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, 시뮬레이션",Zombie Grinder,"액션, 어드벤처, 인디, RPG, 앞서 해보기","A cross-platform, cooperative, multiplayer, zombie death-fest. Slaughter your way through many different maps, game modes and enemies - With tons of weapons and customization options!",,,
B0185,A12,Project Zomboid / Don't Starve / The Forest,"인디, RPG, 시뮬레이션, 앞서 해보기 / 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, 시뮬레이션",The Isle,"액션, 어드벤처, 인디, 대규모 멀티플레이어, 시뮬레이션, 앞서 해보기",Experience fierce open world survival gameplay as you attempt to stay alive on an unforgiving island inhabited by dinosaurs! Hunt. Grow. Survive.,,,
B0186,A01,Sid Meier's Civilization® V / Europa Universalis IV / Human Fall Flat,"전략 / 시뮬레이션, 전략 / 어드벤처, 캐주얼, 인디, 시뮬레이션",But Why?,"액션, 어드벤처, 캐주얼, 인디","싱글 플레이 또는 최대 4인 협동으로 즐기는 분위기 있는 등반 경험. 추위와 고독, 그리고 고요한 인내에 관한 짧고 미니멀한 플랫폼 게임.",,,
B0187,A12,Project Zomboid / Don't Starve / The Forest,"인디, RPG, 시뮬레이션, 앞서 해보기 / 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, 시뮬레이션",Zombie Survival Game Online,"액션, 어드벤처, 인디, RPG, 전략, 앞서 해보기","Zombie Survival Game Online is an open-world, post-apocalyptic, looter shooter. Craft, quest, explore, build, and fight for survival. Parkour up a mountainside, ramp a truck over a horde, and grab a gasmask to explore the sewers. Can you survive? Doubtful.",,,
B0188,A04,Team Fortress 2 / Left 4 Dead 2 / Terraria,"액션, 무료 플레이 / 액션 / 액션, 어드벤처, 인디, RPG",ORION: Prelude,"액션, 어드벤처, 인디, RPG","Work together to survive the devastating Dinosaur horde in huge, endless environments.",,,
B0189,A11,서브노티카 / The Long Dark / No Man's Sky,"어드벤처, 인디 / 어드벤처, 인디, 시뮬레이션, 전략 / 액션, 어드벤처",Project Silverfish,"액션, 어드벤처, 인디, 앞서 해보기","Explore a hostile, living world: Uncover forgotten horrors, both man-made and supernatural, as you hunt for powerful weapons and exotic artifacts.",,,
B0190,A20,Counter-Strike 2 / PUBG: BATTLEGROUNDS / Stardew Valley,"액션, 무료 플레이 / 액션, 어드벤처, 대규모 멀티플레이어, 무료 플레이 / 인디, RPG, 시뮬레이션",Pathless Woods,"어드벤처, 캐주얼, 인디, RPG, 시뮬레이션, 전략, 앞서 해보기","Embark on a cozy open-world survival journey inspired by ancient China's heritage. Gather resources, cultivate crops, build your dream home, and defend it from marauders. Team up with friends to explore and uncover a world where adventure meets serenity.",,,
B0191,A11,서브노티카 / The Long Dark / No Man's Sky,"어드벤처, 인디 / 어드벤처, 인디, 시뮬레이션, 전략 / 액션, 어드벤처",The Aquatic Adventure of the Last Human,"액션, 어드벤처, 인디",Explore the ruins of the human race and discover the thriving wildlife that blossomed after our extinction in this underwater action/adventure. Encounter monstrous creatures and let curiosity guide you through an inevitable voyage of extinction.,,,
B0192,A21,Hollow Knight / Dead Cells / Garry's Mod,"액션, 어드벤처, 인디 / 액션, 어드벤처, 인디 / 캐주얼, 인디, 시뮬레이션",Ancient Warfare 3,"액션, 인디, 시뮬레이션, 전략","Dive into a sandbox full of action and customization! Choose from different game modes like deathmatch, conquest, king of the hill, zombie survival and many more. Create your own scenarios and content in the easy to use in-game editors or use one of the 50k+ workshop items from other players...",,,
B0193,A14,No Man's Sky / 서브노티카 / Slime Rancher,"액션, 어드벤처 / 어드벤처, 인디 / 액션, 어드벤처, 인디, 시뮬레이션",FEROCIOUS,"액션, 어드벤처, 인디","생존 FPS 모험에 빠져 보세요. 위험한 섬에 고립되어 용병, 공룡, 생생하지만 적대적인 생태계에 맞서세요. 숨 막히는 환경을 탐험하고 빠른 속도의 강렬한 맹공격으로부터 살아남으세요.",,,
